file,section_depth,heading,keywords,has_keyword,line_start,body_snippet
docs/components/core/os_coos.md,2,1. コンセプト,CooperativeMultitasking|UseCpp23Library|UseCpp20Coroutine|CSPCommunication|EliminateDataRace|PeriodicTask|IdleDetection|InterruptWakeup|NotRTOS|3TierSeparation|ComponentHarness,YES,3,<!-- traceability: {CooperativeMultitasking} {UseCpp23Library} {UseCpp20Coroutine} {CSPCommunication
docs/components/core/os_coos.md,3,2.1 構成要素,,NO,11,
docs/components/core/os_coos.md,2,2. アーキテクチャ分類,3TierSeparation|ComponentHarness,YES,7,<!-- traceability: {3TierSeparation} {ComponentHarness} --> 本コンポーネントは **Tier 2 (サブシステムドメイン)** に属し、St
docs/components/core/os_coos.md,3,3.1 データ構造,Policy_Memory,YES,19,<!-- traceability: {Policy_Memory} --> - **`channel`**: 1エントリのバッファを持つ同期オブジェクト。 - **`co_value`**: 独自の
docs/components/core/os_coos.md,3,3.2 内部ブロック図,Policy_Memory,YES,25,<!-- traceability: {Policy_Memory} --> ```mermaid graph TD     subgraph Harness[COOS Harness]       
docs/components/core/os_coos.md,4,`channel` (CSPチャネル),,NO,43,
docs/components/core/os_coos.md,3,3.3 主要なデータ定義,,NO,40,
docs/components/core/os_coos.md,2,3. 静的モデル,Policy_Memory|CSPCommunication,YES,17, ### 3.1 データ構造 <!-- traceability: {Policy_Memory} --> - **`channel`**: 1エントリのバッファを持つ同期オブジェクト。 - **`c
docs/components/core/os_coos.md,3,4.1 アルゴリズム,CSP_Handoff|DirectContextSwitch|IdleDetection|StrictMemoryLimit|IndependentHeap|InterruptWakeup,YES,82,<!-- traceability: {CSP_Handoff} {DirectContextSwitch} {IdleDetection} {StrictMemoryLimit} {Independ
docs/components/core/os_coos.md,3,4.2 状態遷移,,NO,90,
docs/components/core/os_coos.md,2,4. 動的モデル,CSP_Handoff|DirectContextSwitch|IdleDetection|StrictMemoryLimit|IndependentHeap|InterruptWakeup|StaticDI,YES,80, ### 4.1 アルゴリズム <!-- traceability: {CSP_Handoff} {DirectContextSwitch} {IdleDetection} {StrictMemory
docs/components/core/os_coos.md,3,5.1 `coos_harness` (システムハーネス),StaticDI|ComponentHarness,YES,98,<!-- traceability: {StaticDI} {ComponentHarness} --> コンポーネント間の依存関係を集約する構造体。テストの容易性と依存性の分離を実現する。 `{Co
docs/components/core/os_coos.md,3,5.2 サブコンポーネント・インターフェイス,,NO,121,
docs/components/core/os_coos.md,2,5. インターフェイス設計,StaticDI|ComponentHarness,YES,94,<!-- traceability: {StaticDI} --> 各コンポーネントの公開仕様を定義する。 `{StaticDI}`  ### 5.1 `coos_harness` (システムハーネス
docs/components/core/os_coos.md,2,6. 検証,,NO,132,
docs/components/core/os_coos.md,3,6.1 直交表: CSP通信と状態遷移,,NO,134,チャネル通信時のタスク状態とスケジューラの挙動を検証する。割り込み通知はイベント駆動型として扱われる。  | ケース | 自タスク要求 | チャネル状態 | 相手状態 | 期待される動作 (自) | 
